City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,al mindak,20.1588,41.2834,78.4,15,77,8.86,SA,1690433673
255,langsa,4.4683,97.9683,92.03,55,94,3.8,ID,1690433673
256,kone,-21.0595,164.8658,72.48,49,1,10.54,NC,1690433674
257,puerto madryn,-42.7692,-65.0385,39.51,70,92,2.75,AR,1690433674
258,taltal,-25.4,-70.4833,59.4,83,50,3.18,CL,1690433674
259,coahuayana de hidalgo,18.7,-103.6583,80.87,84,89,1.97,MX,1690433674
260,chahar burj,34.2448,62.1917,91.45,21,0,21.09,AF,1690433675
261,the pas,53.8251,-101.2541,53.62,94,100,9.22,CA,1690433675
262,afaahiti,-17.75,-149.2833,75.07,83,61,6.55,PF,1690433675
263,tokombere,11.2271,13.4858,74.79,79,89,5.5,NG,1690433675
264,decatur,39.8403,-88.9548,82.45,78,100,8.05,US,1690433378
265,vicuna,-30.0319,-70.7081,62.29,52,100,0.85,CL,1690433676
266,vershino-darasunskiy,52.35,115.5167,66.06,73,86,7.07,RU,1690433676
267,xuddur,4.1213,43.8894,73.96,61,50,21.16,SO,1690433676
268,zemio,5.0314,25.1361,69.24,96,100,2.19,CF,1690433676
269,jaguaruna,-28.615,-49.0256,62.19,86,89,12.37,BR,1690433677
270,utrik,11.2278,169.8474,82.2,81,100,17.29,MH,1690433677
271,plastun,44.7561,136.2939,85.33,52,14,6.73,RU,1690433677
272,carutapera,-1.195,-46.02,76.17,89,31,5.61,BR,1690433598
273,chonchi,-42.6128,-73.8092,46.11,99,100,3.67,CL,1690433678
274,chateaubriant,47.7167,-1.3833,62.67,84,99,11.25,FR,1690433678
275,brampton,43.6834,-79.7663,71.98,95,100,3.44,CA,1690433523
276,kichmengskiy gorodok,59.9816,45.7854,66.11,97,100,6.96,RU,1690433678
277,susuman,62.7833,148.1667,49.05,82,100,4.05,RU,1690433678
278,uturoa,-16.7333,-151.4333,78.39,83,45,9.55,PF,1690433678
279,igarka,67.4667,86.5833,78.46,54,2,8.84,RU,1690433679
280,papao,-17.75,-149.55,76.68,81,34,3.71,PF,1690433679
281,ghadamis,30.1337,9.5007,86.79,32,0,11.1,LY,1690433679
282,juneau,58.3019,-134.4197,60.8,93,75,5.75,US,1690433492
283,puerto armuelles,8.2833,-82.8667,82.09,70,100,3.0,PA,1690433679
284,mahina,-17.5065,-149.489,76.77,88,75,2.3,PF,1690433672
285,trairi,-3.2778,-39.2689,77.34,86,8,11.36,BR,1690433497
286,antofagasta,-23.65,-70.4,63.68,87,62,2.59,CL,1690433680
287,sibolga,1.7427,98.7792,86.11,63,98,4.47,ID,1690433680
288,nishinoomote,30.7333,131.0,81.16,100,75,14.97,JP,1690433680
289,shimoda,34.6667,138.95,91.11,70,38,8.01,JP,1690433680
290,altay,47.8667,88.1167,91.09,17,9,10.09,CN,1690433680
291,berbera,10.4396,45.0143,92.17,38,85,25.59,SO,1690433680
292,medowie,-32.7333,151.8667,69.98,52,0,6.91,AU,1690433681
293,queenstown,-31.8976,26.8753,47.8,86,23,3.91,ZA,1690433681
294,christchurch,-43.5333,172.6333,50.92,52,14,21.85,NZ,1690433453
295,pisco,-13.7,-76.2167,59.05,82,0,4.61,PE,1690433681
296,cloquet,46.7216,-92.4594,69.19,90,0,3.44,US,1690433681
297,banfora,10.6333,-4.7667,75.15,84,68,4.07,BF,1690433681
298,tianpeng,30.9866,103.9393,77.63,86,86,14.61,CN,1690433682
